clip_id,file_name,file_path,speaker_id,utterance_id,emotion_code,emotion,intensity_code,intensity,sample_rate,channels,sample_width_bytes,num_frames,duration_sec,split
1001_DFA_ANG_XX,1001_DFA_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_DFA_ANG_XX.wav,1001,DFA,ANG,angry,XX,unspecified,16000,1,2,36409,2.275562,test
1001_DFA_DIS_XX,1001_DFA_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_DFA_DIS_XX.wav,1001,DFA,DIS,disgust,XX,unspecified,16000,1,2,37371,2.335688,test
1001_DFA_FEA_XX,1001_DFA_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_DFA_FEA_XX.wav,1001,DFA,FEA,fear,XX,unspecified,16000,1,2,34701,2.168813,test
1001_DFA_HAP_XX,1001_DFA_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_DFA_HAP_XX.wav,1001,DFA,HAP,happy,XX,unspecified,16000,1,2,29896,1.8685,test
1001_DFA_NEU_XX,1001_DFA_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_DFA_NEU_XX.wav,1001,DFA,NEU,neutral,XX,unspecified,16000,1,2,32566,2.035375,test
1001_DFA_SAD_XX,1001_DFA_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_DFA_SAD_XX.wav,1001,DFA,SAD,sad,XX,unspecified,16000,1,2,32032,2.002,test
1001_IEO_ANG_HI,1001_IEO_ANG_HI.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_ANG_HI.wav,1001,IEO,ANG,angry,HI,high,16000,1,2,30964,1.93525,test
1001_IEO_ANG_LO,1001_IEO_ANG_LO.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_ANG_LO.wav,1001,IEO,ANG,angry,LO,low,16000,1,2,33100,2.06875,test
1001_IEO_ANG_MD,1001_IEO_ANG_MD.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_ANG_MD.wav,1001,IEO,ANG,angry,MD,medium,16000,1,2,42175,2.635937,test
1001_IEO_DIS_HI,1001_IEO_DIS_HI.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_DIS_HI.wav,1001,IEO,DIS,disgust,HI,high,16000,1,2,32032,2.002,test
1001_IEO_DIS_LO,1001_IEO_DIS_LO.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_DIS_LO.wav,1001,IEO,DIS,disgust,LO,low,16000,1,2,32032,2.002,test
1001_IEO_DIS_MD,1001_IEO_DIS_MD.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_DIS_MD.wav,1001,IEO,DIS,disgust,MD,medium,16000,1,2,30430,1.901875,test
1001_IEO_FEA_HI,1001_IEO_FEA_HI.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_FEA_HI.wav,1001,IEO,FEA,fear,HI,high,16000,1,2,25092,1.56825,test
1001_IEO_FEA_LO,1001_IEO_FEA_LO.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_FEA_LO.wav,1001,IEO,FEA,fear,LO,low,16000,1,2,24558,1.534875,test
1001_IEO_FEA_MD,1001_IEO_FEA_MD.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_FEA_MD.wav,1001,IEO,FEA,fear,MD,medium,16000,1,2,25626,1.601625,test
1001_IEO_HAP_HI,1001_IEO_HAP_HI.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_HAP_HI.wav,1001,IEO,HAP,happy,HI,high,16000,1,2,28295,1.768438,test
1001_IEO_HAP_LO,1001_IEO_HAP_LO.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_HAP_LO.wav,1001,IEO,HAP,happy,LO,low,16000,1,2,27227,1.701688,test
1001_IEO_HAP_MD,1001_IEO_HAP_MD.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_HAP_MD.wav,1001,IEO,HAP,happy,MD,medium,16000,1,2,26693,1.668313,test
1001_IEO_NEU_XX,1001_IEO_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_NEU_XX.wav,1001,IEO,NEU,neutral,XX,unspecified,16000,1,2,25626,1.601625,test
1001_IEO_SAD_HI,1001_IEO_SAD_HI.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_SAD_HI.wav,1001,IEO,SAD,sad,HI,high,16000,1,2,32032,2.002,test
1001_IEO_SAD_LO,1001_IEO_SAD_LO.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_SAD_LO.wav,1001,IEO,SAD,sad,LO,low,16000,1,2,30430,1.901875,test
1001_IEO_SAD_MD,1001_IEO_SAD_MD.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IEO_SAD_MD.wav,1001,IEO,SAD,sad,MD,medium,16000,1,2,27761,1.735062,test
1001_IOM_ANG_XX,1001_IOM_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IOM_ANG_XX.wav,1001,IOM,ANG,angry,XX,unspecified,16000,1,2,34167,2.135438,test
1001_IOM_DIS_XX,1001_IOM_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IOM_DIS_XX.wav,1001,IOM,DIS,disgust,XX,unspecified,16000,1,2,36303,2.268937,test
1001_IOM_FEA_XX,1001_IOM_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IOM_FEA_XX.wav,1001,IOM,FEA,fear,XX,unspecified,16000,1,2,45379,2.836187,test
1001_IOM_HAP_XX,1001_IOM_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IOM_HAP_XX.wav,1001,IOM,HAP,happy,XX,unspecified,16000,1,2,32032,2.002,test
1001_IOM_NEU_XX,1001_IOM_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IOM_NEU_XX.wav,1001,IOM,NEU,neutral,XX,unspecified,16000,1,2,39506,2.469125,test
1001_IOM_SAD_XX,1001_IOM_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IOM_SAD_XX.wav,1001,IOM,SAD,sad,XX,unspecified,16000,1,2,30964,1.93525,test
1001_ITH_ANG_XX,1001_ITH_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITH_ANG_XX.wav,1001,ITH,ANG,angry,XX,unspecified,16000,1,2,37904,2.369,test
1001_ITH_DIS_XX,1001_ITH_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITH_DIS_XX.wav,1001,ITH,DIS,disgust,XX,unspecified,16000,1,2,34701,2.168813,test
1001_ITH_FEA_XX,1001_ITH_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITH_FEA_XX.wav,1001,ITH,FEA,fear,XX,unspecified,16000,1,2,33634,2.102125,test
1001_ITH_HAP_XX,1001_ITH_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITH_HAP_XX.wav,1001,ITH,HAP,happy,XX,unspecified,16000,1,2,39506,2.469125,test
1001_ITH_NEU_XX,1001_ITH_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITH_NEU_XX.wav,1001,ITH,NEU,neutral,XX,unspecified,16000,1,2,41642,2.602625,test
1001_ITH_SAD_XX,1001_ITH_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITH_SAD_XX.wav,1001,ITH,SAD,sad,XX,unspecified,16000,1,2,37904,2.369,test
1001_ITS_ANG_XX,1001_ITS_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITS_ANG_XX.wav,1001,ITS,ANG,angry,XX,unspecified,16000,1,2,41108,2.56925,test
1001_ITS_DIS_XX,1001_ITS_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITS_DIS_XX.wav,1001,ITS,DIS,disgust,XX,unspecified,16000,1,2,35235,2.202187,test
1001_ITS_FEA_XX,1001_ITS_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITS_FEA_XX.wav,1001,ITS,FEA,fear,XX,unspecified,16000,1,2,34167,2.135438,test
1001_ITS_HAP_XX,1001_ITS_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITS_HAP_XX.wav,1001,ITS,HAP,happy,XX,unspecified,16000,1,2,35235,2.202187,test
1001_ITS_NEU_XX,1001_ITS_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITS_NEU_XX.wav,1001,ITS,NEU,neutral,XX,unspecified,16000,1,2,38972,2.43575,test
1001_ITS_SAD_XX,1001_ITS_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_ITS_SAD_XX.wav,1001,ITS,SAD,sad,XX,unspecified,16000,1,2,42709,2.669313,test
1001_IWL_ANG_XX,1001_IWL_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWL_ANG_XX.wav,1001,IWL,ANG,angry,XX,unspecified,16000,1,2,50717,3.169812,test
1001_IWL_DIS_XX,1001_IWL_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWL_DIS_XX.wav,1001,IWL,DIS,disgust,XX,unspecified,16000,1,2,41108,2.56925,test
1001_IWL_FEA_XX,1001_IWL_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWL_FEA_XX.wav,1001,IWL,FEA,fear,XX,unspecified,16000,1,2,37904,2.369,test
1001_IWL_HAP_XX,1001_IWL_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWL_HAP_XX.wav,1001,IWL,HAP,happy,XX,unspecified,16000,1,2,33634,2.102125,test
1001_IWL_NEU_XX,1001_IWL_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWL_NEU_XX.wav,1001,IWL,NEU,neutral,XX,unspecified,16000,1,2,45379,2.836187,test
1001_IWL_SAD_XX,1001_IWL_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWL_SAD_XX.wav,1001,IWL,SAD,sad,XX,unspecified,16000,1,2,45379,2.836187,test
1001_IWW_ANG_XX,1001_IWW_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWW_ANG_XX.wav,1001,IWW,ANG,angry,XX,unspecified,16000,1,2,36409,2.275562,test
1001_IWW_DIS_XX,1001_IWW_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWW_DIS_XX.wav,1001,IWW,DIS,disgust,XX,unspecified,16000,1,2,33100,2.06875,test
1001_IWW_FEA_XX,1001_IWW_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWW_FEA_XX.wav,1001,IWW,FEA,fear,XX,unspecified,16000,1,2,35235,2.202187,test
1001_IWW_HAP_XX,1001_IWW_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWW_HAP_XX.wav,1001,IWW,HAP,happy,XX,unspecified,16000,1,2,31498,1.968625,test
1001_IWW_NEU_XX,1001_IWW_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWW_NEU_XX.wav,1001,IWW,NEU,neutral,XX,unspecified,16000,1,2,36303,2.268937,test
1001_IWW_SAD_XX,1001_IWW_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_IWW_SAD_XX.wav,1001,IWW,SAD,sad,XX,unspecified,16000,1,2,32566,2.035375,test
1001_MTI_ANG_XX,1001_MTI_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_MTI_ANG_XX.wav,1001,MTI,ANG,angry,XX,unspecified,16000,1,2,48048,3.003,test
1001_MTI_DIS_XX,1001_MTI_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_MTI_DIS_XX.wav,1001,MTI,DIS,disgust,XX,unspecified,16000,1,2,46980,2.93625,test
1001_MTI_FEA_XX,1001_MTI_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_MTI_FEA_XX.wav,1001,MTI,FEA,fear,XX,unspecified,16000,1,2,37904,2.369,test
1001_MTI_HAP_XX,1001_MTI_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_MTI_HAP_XX.wav,1001,MTI,HAP,happy,XX,unspecified,16000,1,2,37904,2.369,test
1001_MTI_NEU_XX,1001_MTI_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_MTI_NEU_XX.wav,1001,MTI,NEU,neutral,XX,unspecified,16000,1,2,36837,2.302313,test
1001_MTI_SAD_XX,1001_MTI_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_MTI_SAD_XX.wav,1001,MTI,SAD,sad,XX,unspecified,16000,1,2,36837,2.302313,test
1001_TAI_ANG_XX,1001_TAI_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TAI_ANG_XX.wav,1001,TAI,ANG,angry,XX,unspecified,16000,1,2,37371,2.335688,test
1001_TAI_DIS_XX,1001_TAI_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TAI_DIS_XX.wav,1001,TAI,DIS,disgust,XX,unspecified,16000,1,2,43777,2.736063,test
1001_TAI_FEA_XX,1001_TAI_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TAI_FEA_XX.wav,1001,TAI,FEA,fear,XX,unspecified,16000,1,2,38438,2.402375,test
1001_TAI_HAP_XX,1001_TAI_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TAI_HAP_XX.wav,1001,TAI,HAP,happy,XX,unspecified,16000,1,2,40040,2.5025,test
1001_TAI_NEU_XX,1001_TAI_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TAI_NEU_XX.wav,1001,TAI,NEU,neutral,XX,unspecified,16000,1,2,41108,2.56925,test
1001_TAI_SAD_XX,1001_TAI_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TAI_SAD_XX.wav,1001,TAI,SAD,sad,XX,unspecified,16000,1,2,44845,2.802812,test
1001_TIE_ANG_XX,1001_TIE_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TIE_ANG_XX.wav,1001,TIE,ANG,angry,XX,unspecified,16000,1,2,49650,3.103125,test
1001_TIE_DIS_XX,1001_TIE_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TIE_DIS_XX.wav,1001,TIE,DIS,disgust,XX,unspecified,16000,1,2,35235,2.202187,test
1001_TIE_FEA_XX,1001_TIE_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TIE_FEA_XX.wav,1001,TIE,FEA,fear,XX,unspecified,16000,1,2,35769,2.235562,test
1001_TIE_HAP_XX,1001_TIE_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TIE_HAP_XX.wav,1001,TIE,HAP,happy,XX,unspecified,16000,1,2,36837,2.302313,test
1001_TIE_NEU_XX,1001_TIE_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TIE_NEU_XX.wav,1001,TIE,NEU,neutral,XX,unspecified,16000,1,2,40574,2.535875,test
1001_TIE_SAD_XX,1001_TIE_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TIE_SAD_XX.wav,1001,TIE,SAD,sad,XX,unspecified,16000,1,2,48582,3.036375,test
1001_TSI_ANG_XX,1001_TSI_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TSI_ANG_XX.wav,1001,TSI,ANG,angry,XX,unspecified,16000,1,2,40040,2.5025,test
1001_TSI_DIS_XX,1001_TSI_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TSI_DIS_XX.wav,1001,TSI,DIS,disgust,XX,unspecified,16000,1,2,34701,2.168813,test
1001_TSI_FEA_XX,1001_TSI_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TSI_FEA_XX.wav,1001,TSI,FEA,fear,XX,unspecified,16000,1,2,30430,1.901875,test
1001_TSI_HAP_XX,1001_TSI_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TSI_HAP_XX.wav,1001,TSI,HAP,happy,XX,unspecified,16000,1,2,34701,2.168813,test
1001_TSI_NEU_XX,1001_TSI_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TSI_NEU_XX.wav,1001,TSI,NEU,neutral,XX,unspecified,16000,1,2,38972,2.43575,test
1001_TSI_SAD_XX,1001_TSI_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_TSI_SAD_XX.wav,1001,TSI,SAD,sad,XX,unspecified,16000,1,2,40040,2.5025,test
1001_WSI_ANG_XX,1001_WSI_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_WSI_ANG_XX.wav,1001,WSI,ANG,angry,XX,unspecified,16000,1,2,43777,2.736063,test
1001_WSI_DIS_XX,1001_WSI_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_WSI_DIS_XX.wav,1001,WSI,DIS,disgust,XX,unspecified,16000,1,2,42709,2.669313,test
1001_WSI_FEA_XX,1001_WSI_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_WSI_FEA_XX.wav,1001,WSI,FEA,fear,XX,unspecified,16000,1,2,37371,2.335688,test
1001_WSI_HAP_XX,1001_WSI_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_WSI_HAP_XX.wav,1001,WSI,HAP,happy,XX,unspecified,16000,1,2,36409,2.275562,test
1001_WSI_NEU_XX,1001_WSI_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_WSI_NEU_XX.wav,1001,WSI,NEU,neutral,XX,unspecified,16000,1,2,43777,2.736063,test
1001_WSI_SAD_XX,1001_WSI_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1001_WSI_SAD_XX.wav,1001,WSI,SAD,sad,XX,unspecified,16000,1,2,37371,2.335688,test
1011_DFA_ANG_XX,1011_DFA_ANG_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_DFA_ANG_XX.wav,1011,DFA,ANG,angry,XX,unspecified,16000,1,2,47514,2.969625,test
1011_DFA_DIS_XX,1011_DFA_DIS_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_DFA_DIS_XX.wav,1011,DFA,DIS,disgust,XX,unspecified,16000,1,2,40574,2.535875,test
1011_DFA_FEA_XX,1011_DFA_FEA_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_DFA_FEA_XX.wav,1011,DFA,FEA,fear,XX,unspecified,16000,1,2,32566,2.035375,test
1011_DFA_HAP_XX,1011_DFA_HAP_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_DFA_HAP_XX.wav,1011,DFA,HAP,happy,XX,unspecified,16000,1,2,32566,2.035375,test
1011_DFA_NEU_XX,1011_DFA_NEU_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_DFA_NEU_XX.wav,1011,DFA,NEU,neutral,XX,unspecified,16000,1,2,39506,2.469125,test
1011_DFA_SAD_XX,1011_DFA_SAD_XX.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_DFA_SAD_XX.wav,1011,DFA,SAD,sad,XX,unspecified,16000,1,2,40040,2.5025,test
1011_IEO_ANG_HI,1011_IEO_ANG_HI.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_IEO_ANG_HI.wav,1011,IEO,ANG,angry,HI,high,16000,1,2,54988,3.43675,test
1011_IEO_ANG_LO,1011_IEO_ANG_LO.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_IEO_ANG_LO.wav,1011,IEO,ANG,angry,LO,low,16000,1,2,48582,3.036375,test
1011_IEO_ANG_MD,1011_IEO_ANG_MD.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_IEO_ANG_MD.wav,1011,IEO,ANG,angry,MD,medium,16000,1,2,40040,2.5025,test
1011_IEO_DIS_HI,1011_IEO_DIS_HI.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_IEO_DIS_HI.wav,1011,IEO,DIS,disgust,HI,high,16000,1,2,44311,2.769437,test
1011_IEO_DIS_LO,1011_IEO_DIS_LO.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_IEO_DIS_LO.wav,1011,IEO,DIS,disgust,LO,low,16000,1,2,44311,2.769437,test
1011_IEO_DIS_MD,1011_IEO_DIS_MD.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_IEO_DIS_MD.wav,1011,IEO,DIS,disgust,MD,medium,16000,1,2,45379,2.836187,test
1011_IEO_FEA_HI,1011_IEO_FEA_HI.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_IEO_FEA_HI.wav,1011,IEO,FEA,fear,HI,high,16000,1,2,41642,2.602625,test
1011_IEO_FEA_LO,1011_IEO_FEA_LO.wav,/mnt/c/Desktop/Projects/speech emotion detection system/AudioWAV/1011_IEO_FEA_LO.wav,1011,IEO,FEA,fear,LO,low,16000,1,2,44845,2.802812,test
